RT,Syllable,Position,Block,Subject,Condition
0.7213,pu,2,1,0,1
1.115,pu,2,1,0,1
0.5683,pu,2,1,0,1
0.4479,pu,2,1,0,1
0.6892,ta,1,1,0,1
0.4518,ta,1,1,0,1
0.8699,ta,1,1,0,1
0.9019,ta,1,1,0,1
0.5571,me,3,1,0,1
0.5364,me,3,1,0,1
0.465,me,3,1,0,1
0.4654,me,3,1,0,1
0.7209,fe,1,1,0,1
0.1849,ko,3,1,0,1
0.5596,ko,3,1,0,1
0.6047,ko,3,1,0,1
0.6339,ko,3,1,0,1
0.5241,ti,2,1,0,1
0.6156,ti,2,1,0,1
0.7182,ti,2,1,0,1
0.5664,ni,3,1,0,1
0.5028,ni,3,1,0,1
0.3725,ni,3,1,0,1
0.5333,re,1,1,0,1
0.6484,re,1,1,0,1
0.7353,re,1,1,0,1
0.6564,re,1,1,0,1
0.54,fu,2,1,0,1
0.7688,fu,2,1,0,1
0.5207,fu,2,1,0,1
0.5268,ru,1,1,0,1
0.6687,ru,1,1,0,1
0.636,ru,1,1,0,1
0.6011,ru,1,1,0,1
0.519,ge,2,1,0,1
0.3041,ge,2,1,0,1
0.5016,ge,2,1,0,1
1.0539,su,3,1,0,1
0.5344,su,3,1,0,1
0.4676,su,3,1,0,1
0.4981,ta,1,2,0,1
0.6476,ta,1,2,0,1
0.632,ta,1,2,0,1
0.5331,ta,1,2,0,1
0.6959,ti,2,2,0,1
0.7323,ti,2,2,0,1
0.5501,ti,2,2,0,1
0.668,me,3,2,0,1
0.6012,me,3,2,0,1
0.6187,me,3,2,0,1
0.4846,me,3,2,0,1
0.554,pu,2,2,0,1
1.1048,pu,2,2,0,1
0.8062,pu,2,2,0,1
0.5003,su,3,2,0,1
0.6163,su,3,2,0,1
0.6023,su,3,2,0,1
0.5357,su,3,2,0,1
0.5743,ru,1,2,0,1
0.6499,ru,1,2,0,1
0.8389,ru,1,2,0,1
1.0244,ru,1,2,0,1
0.5158,ko,3,2,0,1
0.558,ko,3,2,0,1
0.6232,ko,3,2,0,1
0.8359,re,1,2,0,1
0.9237,re,1,2,0,1
0.8544,re,1,2,0,1
0.6527,fu,2,2,0,1
0.624,fu,2,2,0,1
0.6497,ni,3,2,0,1
0.6523,ni,3,2,0,1
0.5821,ni,3,2,0,1
0.738,ni,3,2,0,1
0.4548,ge,2,2,0,1
0.4676,ge,2,2,0,1
1.0368,ge,2,2,0,1
0.4688,ge,2,2,0,1
0.568,fe,1,2,0,1
0.7881,fe,1,2,0,1
0.6047,fe,1,2,0,1
0.5141,me,3,3,0,1
0.6221,me,3,3,0,1
0.5049,me,3,3,0,1
0.7169,me,3,3,0,1
0.7379,ti,2,3,0,1
0.6684,ti,2,3,0,1
0.7686,ti,2,3,0,1
0.6206,ti,2,3,0,1
0.5216,ta,1,3,0,1
1.1137,ta,1,3,0,1
0.6066,ta,1,3,0,1
0.5606,pu,2,3,0,1
0.6022,pu,2,3,0,1
0.6587,pu,2,3,0,1
0.5013,pu,2,3,0,1
0.5855,ko,3,3,0,1
0.6159,ko,3,3,0,1
0.6,ko,3,3,0,1
0.9477,ko,3,3,0,1
0.5706,fe,1,3,0,1
0.5018,ge,2,3,0,1
0.4853,ge,2,3,0,1
0.7349,ge,2,3,0,1
0.6018,ge,2,3,0,1
0.6916,ru,1,3,0,1
1.1513,ru,1,3,0,1
0.5545,ru,1,3,0,1
0.6007,ru,1,3,0,1
0.5268,su,3,3,0,1
0.5,su,3,3,0,1
0.5892,su,3,3,0,1
0.6162,re,1,3,0,1
0.5492,re,1,3,0,1
0.5701,re,1,3,0,1
0.4999,re,1,3,0,1
0.6228,ni,3,3,0,1
0.5914,ni,3,3,0,1
1.0593,ni,3,3,0,1
0.5183,fu,2,3,0,1
0.8386,fu,2,3,0,1
0.6535,fu,2,3,0,1
