Total,FalseAlarm,HitRate,Syllable,Subject,Block,Condition,Position
6,0.333333333,1,pu,0,1,1,
6,0.333333333,1,ta,0,1,1,
4,0,1,me,0,1,1,
2,0.5,0.25,fe,0,1,1,
4,0,1,ko,0,1,1,
4,0.25,0.75,ti,0,1,1,
4,0.25,0.75,ni,0,1,1,
4,0,1,re,0,1,1,
5,0.4,0.75,fu,0,1,1,
4,0,1,ru,0,1,1,
3,0,0.75,ge,0,1,1,
3,0,0.75,su,0,1,1,
5,0.2,1,ta,0,2,1,
4,0.25,0.75,ti,0,2,1,
5,0.2,1,me,0,2,1,
3,0,0.75,pu,0,2,1,
4,0,1,su,0,2,1,
4,0,1,ru,0,2,1,
3,0,0.75,ko,0,2,1,
5,0.4,0.75,re,0,2,1,
3,0.333333333,0.5,fu,0,2,1,
4,0,1,ni,0,2,1,
4,0,1,ge,0,2,1,
4,0.25,0.75,fe,0,2,1,
4,0,1,me,0,3,1,
5,0.2,1,ti,0,3,1,
5,0.4,0.75,ta,0,3,1,
5,0.2,1,pu,0,3,1,
4,0,1,ko,0,3,1,
1,0,0.25,fe,0,3,1,
4,0,1,ge,0,3,1,
4,0,1,ru,0,3,1,
3,0,0.75,su,0,3,1,
4,0,1,re,0,3,1,
5,0.4,0.75,ni,0,3,1,
4,0.25,0.75,fu,0,3,1,
8,0.625,0.75,me,1,1,1,
9,0.555555556,1,ti,1,1,1,
5,0.2,1,ta,1,1,1,
5,0.2,1,pu,1,1,1,
4,0,1,ko,1,1,1,
3,0,0.75,fe,1,1,1,
5,0.2,1,ge,1,1,1,
6,0.333333333,1,ru,1,1,1,
4,0,1,su,1,1,1,
2,0,0,re,1,1,1,
4,0,1,ni,1,1,1,
2,0,0.5,fu,1,1,1,
3,0.333333333,0.5,pu,1,2,1,
6,0.333333333,1,ta,1,2,1,
7,0.571428571,0.75,me,1,2,1,
4,0,1,fe,1,2,1,
4,0,1,ko,1,2,1,
6,0.333333333,1,ti,1,2,1,
5,0.2,1,ni,1,2,1,
0,0,0,re,1,2,1,
4,0.5,0.5,fu,1,2,1,
4,0.25,0.75,ru,1,2,1,
1,0,0.25,ge,1,2,1,
4,0,1,su,1,2,1,
5,0.2,1,ta,1,3,1,
5,0.2,1,ti,1,3,1,
4,0.75,0.25,me,1,3,1,
4,0,1,pu,1,3,1,
5,0.2,1,su,1,3,1,
4,0,1,ru,1,3,1,
3,0,0.75,ko,1,3,1,
0,0,0,re,1,3,1,
2,0,0,fu,1,3,1,
4,0,1,ni,1,3,1,
3,0,0.75,ge,1,3,1,
4,0,1,fe,1,3,1,
5,0.2,1,pu,2,1,1,
5,0.6,0.5,ta,2,1,1,
4,0,1,me,2,1,1,
3,0,0.75,fe,2,1,1,
4,0,1,ko,2,1,1,
4,0.25,0.75,ti,2,1,1,
4,0,1,ni,2,1,1,
5,0.2,1,re,2,1,1,
5,0.2,1,fu,2,1,1,
4,0,1,ru,2,1,1,
4,0,1,ge,2,1,1,
4,0,1,su,2,1,1,
7,0.428571429,1,ta,2,2,1,
5,0.2,1,ti,2,2,1,
5,0.2,1,me,2,2,1,
4,0,1,pu,2,2,1,
5,0.2,1,su,2,2,1,
4,0,1,ru,2,2,1,
4,0,1,ko,2,2,1,
4,0,1,re,2,2,1,
5,0.2,1,fu,2,2,1,
4,0,1,ni,2,2,1,
3,0,0.75,ge,2,2,1,
4,0,1,fe,2,2,1,
4,0.25,0.75,me,2,3,1,
6,0.333333333,1,ti,2,3,1,
5,0.6,0.5,ta,2,3,1,
4,0,1,pu,2,3,1,
4,0,1,ko,2,3,1,
4,0.25,0.75,fe,2,3,1,
3,0,0.75,ge,2,3,1,
