Subject,Word,Partword,Nonword,AFC,Pos1,Pos2,Pos3,RT.Effect,PauseCheck,PauseCheckRT,
0,3,3.75,3.75,0.625,0.683558974,0.6366275,0.5918,0.134237099,6,0.918216667,"*removed one trial from AFC due to sound not playing right, original score 0.625 (10/16)"
1,3.5,3.75,2.75,0.4375,0.556279412,0.567658824,0.538797619,0.031426281,6,0.529933333,
2,3.5,3.25,3,0.8125,0.561230952,0.512915556,0.504497727,0.101087128,6,0.599433333,
3,3.25,2.75,3.25,0.6875,0.624864865,0.558828571,0.559404762,0.104758815,6,1.305666667,
4,3.5,3.75,2.25,0.8125,0.578823529,0.511,0.538911765,0.068953251,6,0.731333333,
5,4,4,3.25,0.8125,0.532676471,0.471054054,0.459926829,0.136573785,6,1.383333333,
6,3.75,3,3,0.6875,0.541333333,0.450130435,0.5674375,-0.048221983,6,0.554666667,
7,3,2.75,3.25,0.6875,0.530377778,0.481219512,0.522042553,0.015715638,6,0.626833333,
8,2.75,2.25,2,0.6875,0.487675,0.444609756,0.471044444,0.034101719,6,1.791833333,
9,4,3.5,3.5,0.5625,0.637318182,0.589418605,0.54325,0.147600029,6,0.636,
10,4,3.5,3.5,0.6875,0.568940541,0.550926667,0.519026087,0.087732286,6,1.829783333,"*removed one trial from AFC due to sound not playing right, original score 0.6875 (11/16)"
11,3,3.5,3,0.75,0.647119048,0.595595238,0.582808511,0.099379762,6,1.143166667,
12,2.5,3.25,3,0.6875,0.475093023,0.433717391,0.449543478,0.053777984,6,1.652166667,
21,3.5,2.75,2.25,0.5,0.52640825,0.532533625,0.442330444,0.159719773,18,0.847516944,
22,4,3.5,4,0.625,0.642306,0.609724419,0.585211413,0.08889001,18,0.643468889,
23,3.75,3.5,3,0.75,0.453790333,0.410372841,0.417158415,0.080724324,18,0.475545833,
24,3.25,3,1.75,0.9375,0.608439884,0.569482976,0.474105976,0.220784192,18,0.723559167,
25,4,3.75,3.5,0.75,0.531199524,0.521697368,0.467624286,0.119682408,18,0.405200278,
26,1.25,1,1,0.5625,0.48274622,0.435162717,0.536487237,-0.111323538,18,0.48821,
27,4,3.75,3.75,0.5,0.5348,0.538647059,0.555714286,-0.039106743,18,0.678833333,
28,2.75,3.25,2.25,0.6875,0.512406111,0.494295119,0.507855208,0.008881437,17,0.467800294,
29,3.75,3.25,3.75,0.5625,0.503060532,0.518908229,0.534355357,-0.062208866,18,0.708928333,
30,3,2.25,2.25,0.5625,0.438921304,0.376394833,0.411710957,0.06199368,18,0.400925833,
31,4,2.75,2.5,0.8125,0.569346146,0.571506429,0.529474681,0.070030271,18,0.571239722,
32,3.5,3.25,3,0.8125,0.552472128,0.564314773,0.57300375,-0.037163182,18,0.516854722,
33,2.5,2.5,2.75,0.625,0.692098421,0.648660732,0.656740889,0.051087434,18,0.714335833,
34,3,2.5,2.5,0.625,0.558468261,0.493222604,0.468201163,0.161633354,18,0.512687778,
